study_words,test,textbox.text,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate
,c_m_r_,camera,[0.05078125],[-0.2903645833333333],[1],[0],[0],[5.252255999999761],['text_3'],939020,1,2022-10-14_11h47.22.902,word_priming,2022.2.4,60.03651421
,_a_e,vase,[0.005208333333333333],[-0.3203125],[1],[0],[0],[3.0935981000002357],['text_3'],939020,1,2022-10-14_11h47.22.902,word_priming,2022.2.4,60.03651421
,_ia_n_,piano,[-0.0026041666666666665],[-0.3046875],[1],[0],[0],[6.77386499999966],['text_3'],939020,1,2022-10-14_11h47.22.902,word_priming,2022.2.4,60.03651421
,_o_s_,horse,[-0.0026041666666666665],[-0.3046875],[1],[0],[0],[8.354012799999964],['text_3'],939020,1,2022-10-14_11h47.22.902,word_priming,2022.2.4,60.03651421
,_ca_o_,,[],[],[],[],[],[],[],939020,1,2022-10-14_11h47.22.902,word_priming,2022.2.4,60.03651421
,o_a_n_e,,[],[],[],[],[],[],[],939020,1,2022-10-14_11h47.22.902,word_priming,2022.2.4,60.03651421
,t_g_r,tiger,[-0.0026041666666666665],[-0.3046875],[1],[0],[0],[3.692959200000132],['text_3'],939020,1,2022-10-14_11h47.22.902,word_priming,2022.2.4,60.03651421
,c_s_h_o_n,cushion,[-0.0026041666666666665],[-0.3046875],[1],[0],[0],[4.775518200000079],['text_3'],939020,1,2022-10-14_11h47.22.902,word_priming,2022.2.4,60.03651421
,_oo_,book,[-0.0026041666666666665],[-0.3046875],[1],[0],[0],[3.160549600000195],['text_3'],939020,1,2022-10-14_11h47.22.902,word_priming,2022.2.4,60.03651421
,_p_a_d_,,[],[],[],[],[],[],[],939020,1,2022-10-14_11h47.22.902,word_priming,2022.2.4,60.03651421
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,Prop. of hit from study list,5,0.5,,,,,,,,,,
,,,Prop. Of hit from non-primed words,2,0.2,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,Priming score,,0.3,,,,,,,,,,
