study_words,test,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,text.started,slider.started,slider.response,slider.rt,text_2.started,textbox.started,text_3.started,mouse.started,textbox.text,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate
cushion,,0,0,0,3,,,,,10.9818513,10.9818513,1.953125,1.7974252,,,,,,,,,,,,,939020,1,2022-10-14_11h47.22.902,word_priming,2022.2.4,60.03651421
tiger,,0,1,1,1,,,,,12.7616931,12.7616931,1.708333333,1.2592879,,,,,,,,,,,,,939020,1,2022-10-14_11h47.22.902,word_priming,2022.2.4,60.03651421
vase,,0,2,2,0,,,,,14.0441442,14.0441442,1.21875,1.626502,,,,,,,,,,,,,939020,1,2022-10-14_11h47.22.902,word_priming,2022.2.4,60.03651421
book,,0,3,3,2,,,,,15.6926145,15.6926145,1.296875,1.0478053,,,,,,,,,,,,,939020,1,2022-10-14_11h47.22.902,word_priming,2022.2.4,60.03651421
piano,,0,4,4,4,,,,,16.7582626,16.7582626,1.296875,1.9611678,,,,,,,,,,,,,939020,1,2022-10-14_11h47.22.902,word_priming,2022.2.4,60.03651421
,c_m_r_,,,,,0,0,0,6,,,,,18.7395119,18.7395119,18.7395119,0.0090364,camera,[0.05078125],[-0.2903645833333333],[1],[0],[0],[5.252255999999761],['text_3'],939020,1,2022-10-14_11h47.22.902,word_priming,2022.2.4,60.03651421
,_a_e,,,,,0,1,1,0,,,,,24.0010285,24.0010285,24.0010285,0.0019713,vase,[0.005208333333333333],[-0.3203125],[1],[0],[0],[3.0935981000002357],['text_3'],939020,1,2022-10-14_11h47.22.902,word_priming,2022.2.4,60.03651421
,_ia_n_,,,,,0,2,2,4,,,,,27.09825,27.09825,27.09825,0.0020599,piano,[-0.0026041666666666665],[-0.3046875],[1],[0],[0],[6.77386499999966],['text_3'],939020,1,2022-10-14_11h47.22.902,word_priming,2022.2.4,60.03651421
,_o_s_,,,,,0,3,3,8,,,,,33.8743617,33.8743617,33.8743617,0.0029115,horse,[-0.0026041666666666665],[-0.3046875],[1],[0],[0],[8.354012799999964],['text_3'],939020,1,2022-10-14_11h47.22.902,word_priming,2022.2.4,60.03651421
,_ca_o_,,,,,0,4,4,5,,,,,42.2334301,42.2334301,42.2334301,0.0023594,,[],[],[],[],[],[],[],939020,1,2022-10-14_11h47.22.902,word_priming,2022.2.4,60.03651421
,o_a_n_e,,,,,0,5,5,9,,,,,52.2401522,52.2401522,52.2401522,0.0078487,,[],[],[],[],[],[],[],939020,1,2022-10-14_11h47.22.902,word_priming,2022.2.4,60.03651421
,t_g_r,,,,,0,6,6,1,,,,,62.2466649,62.2466649,62.2466649,0.0155846,tiger,[-0.0026041666666666665],[-0.3046875],[1],[0],[0],[3.692959200000132],['text_3'],939020,1,2022-10-14_11h47.22.902,word_priming,2022.2.4,60.03651421
,c_s_h_o_n,,,,,0,7,7,3,,,,,65.9433479,65.9433479,65.9433479,0.00296,cushion,[-0.0026041666666666665],[-0.3046875],[1],[0],[0],[4.775518200000079],['text_3'],939020,1,2022-10-14_11h47.22.902,word_priming,2022.2.4,60.03651421
,_oo_,,,,,0,8,8,2,,,,,70.7228563,70.7228563,70.7228563,0.0019549,book,[-0.0026041666666666665],[-0.3046875],[1],[0],[0],[3.160549600000195],['text_3'],939020,1,2022-10-14_11h47.22.902,word_priming,2022.2.4,60.03651421
,_p_a_d_,,,,,0,9,9,7,,,,,73.8855297,73.8855297,73.8855297,0.0037697,,[],[],[],[],[],[],[],939020,1,2022-10-14_11h47.22.902,word_priming,2022.2.4,60.03651421
